,topic_name,topic_id,words
10,E,10,"эколог, экологическии, водопотребление, экологичность, экологически, биотопливо, ресурсныи, природоохранныи, водоснабжение, экологичныи, экосистема, водохранилище, экопросвещение, газификация, водозабор, экология, водопроводныи, энергозатраты, водозаборныи, эко, водоохранныи, расход, водоотведение, население, отход, ресурс, рекуперация, экономика, топливныи, топливо, нефть, энергоресурсы, численность, значение, территория, энергообъект, водоканал, биоразнообразие, география, экологиче, географическии, атмосферныи, биографическии, газоснабжение, площадь, инстанция, водоочистныи, биоресурсы, девальвация, биомасса"
11,E,11,"эколог, экологическии, экологически, экологичныи, экологичность, экопросвещение, экология, выращивание, экосистема, озеленение, природоохранныи, волонтерство, экологиче, эко, зеленыи, поучаствовать, добровольческии, субботник, добровольчество, среда, растительность, заповедник, урожаиность, очистить, пивоварение, удобрение, органическии, акция, участвовать, биоресурсы, население, продвигать, озоноразрушать, участие, добровольныи, отход, поощрение, община, способствовать, биотопливо, поселение, водоснабжение, инстанция, вырастить, волонтер, водопотребление, сообщество, продвинуть, продвижение, поселок"
12,Энергия,12,"энергосбытовыи, энерго, энергоемкии, энергозатраты, энергоустановка, энергосбыт, электростанция, атомэнергомаш, энергоатом, электроэнергия, энергоноситель, энергоресурсы, энергообъект, энергоблок, энергоаудит, энергоемкость, энергоснабжение, росэнергоатом, энергия, энергопринимать, энергокомплекс, бурятэнерго, энергобаланс, атомэнергопром, ленэнерго, энергетика, атомпроект, минэнерго, энергохолдинг, энергосистема, мощность, энергетическии, псковэнерго, электричество, энергокомпания, новгородэнерго, тываэнерго, энерджи, магаданэнерго, мосэнергосбыт, энергосервисныи, власть, мосэнерго, алтаиэнерго, комиэнерго, энер, омскэнерго, энергосервис, энергетик, электро"
13,E,13,"экологическии, экологически, эколог, экономика, экопросвещение, ценность, экономически, экономическии, конкурентность, экологичность, толерантность, объективность, себестоимость, эмоция, экономист, честность, аспект, правомерность, промышленность, факторинг, отношение, взаимоуважение, справедливость, эко, эмоциональныи, отрицательныи, экология, связанность, квалификация, экологичныи, достоинство, экосистема, тивность, единство, субъект, преемственность, экономичность, политик, равенство, социологическии, работник, увольнение, сторона, маркетинговыи, теплоэнергетика, климатическии, классификация, взаимодеиствие, экономия, энергетика"
14,Энергия,14,"энергосбытовыи, энергообъект, энергозатраты, энергосбыт, энергохолдинг, электроэнергия, энерго, энергокомплекс, энергоснабжение, энергоемкии, энергоустановка, энергоресурсы, энергопринимать, энергия, энергоаудит, электростанция, энергоатом, энергетика, энергоемкость, энергоноситель, власть, ленэнерго, энергетическии, росэнергоатом, энергосервисныи, минэнерго, электричество, энергобаланс, экспорт, энергосервис, энерджи, комиэнерго, магаданэнерго, энергокомпания, энергоблок, экспортер, энергосистема, новгородэнерго, энергетик, электрификация, экспортировать, мосэнергосбыт, экспортныи, алтаиэнерго, тываэнерго, мощность, теплоэнергия, ветроэнергетика, электро, псковэнерго"
15,Энергия,15,"энергозатраты, ресурсныи, себестоимость, ресурс, льгота, субсидирование, энергия, экономическии, энерго, экономически, энергоресурсы, льготныи, энергетика, экономика, энергосбыт, теплоэнергетика, субсидия, энергосбытовыи, энергоснабжение, затрата, энергоатом, выгода, бенефициар, энергетическии, энергообъект, теплоэнергия, доходность, энергокомплекс, расход, местность, областнои, площадь, рентабельность, инфляция, источник, участие, муниципалитет, нефть, территория, энергоемкии, затратныи, регион, простота, капитал, энергопринимать, энергоноситель, процент, новгородэнерго, возгорание, отопление"
16,Энергия,16,"энергозатраты, энергоресурсы, эколог, экопросвещение, водопотребление, энергообъект, энергосбытовыи, экономия, энергоемкии, энергоснабжение, энерго, эко, экологичныи, энергохолдинг, энергосбыт, энергоатом, экологичность, экономист, экономика, энергия, энергетика, энергопринимать, утилизироваться, энергетическии, энергоноситель, энергокомпания, утилизировать, расход, экономить, энергоаудит, энергоустановка, экологическии, утилизация, росэнергоатом, энергосервисныи, экологиче, потребление, экологически, экономбанк, энергоемкость, сбережение, электростанция, экономичность, коммунальныи, водохранилище, энергобаланс, экономическии, роспотребнадзор, экономичныи, энергокомплекс"
17,Вода,17,"водопроводныи, водоканал, водозаборныи, водозабор, водоснабжение, водопровод, водоочистныи, водопотребление, водоотведение, канализация, водоток, водовод, водоем, водоочистка, водоохранныи, водохранилище, коммунальныи, наводнение, акватория, водоподготовка, водопользование, муниципальныи, водственныи, муниципалитет, речнои, вода, гидрологическии, поселок, рекуперация, водство, океан, закупаться, поселение, объединение, водныи, пул, дренажныи, река, новгородэнерго, рыболовство, сооружение, гидроразрыв, дождевои, вводныи, расход, гидро, гидрогенерация, рекреационныи, единство, пруд"
18,E,18,"эколог, экологичныи, экопросвещение, экологичность, экологическии, экологически, экономика, экономист, энергозатраты, эко, топливныи, экономия, топливо, газоснабжение, энергоресурсы, утилизация, энергообъект, экологиче, газа, энергокомпания, энергоснабжение, уменьшать, уменьшение, утилизировать, биотопливо, сокращение, энергетика, энергосбытовыи, утилизироваться, энергоемкии, экономическии, бензин, энергоатом, энерго, уменьшаться, природоохранныи, газ, экономить, энергоустановка, газообразныи, росэнергоатом, экология, энергия, минимизация, экономически, уменьшить, энергоноситель, минимизировать, газопереработка, экономныи"
19,Климат,19,"климатическии, климат, риска, риск, рисковои, опасность, факторинг, пасность, атмосфера, атмосферныи, кризисныи, опасение, фактор, природоохранныи, аварииность, катастрофа, эколог, глобальныи, география, географическии, ископаемое, обесценение, характеризовать, кризис, обстановка, безопасность, экологическии, экосистема, изменение, сценарии, турист, природа, вероятность, экология, мероприятие, минприрода, политик, обесценить, экопросвещение, теплогенерация, потепление, туристическии, геотермальныи, страхование, опасныи, адресность, теплов, сцена, агрохимическии, происшествие"
20,Отходы,20,"земельныи, земля, почва, почвенныи, геология, грунт, геолог, участок, геотермальныи, территория, геологоразведка, землянои, эколог, землетрясение, грунтовыи, захоронение, уничтожение, рекультивация, загрязнение, территориальныи, экология, подземныи, месторождение, разрушение, ископаемое, земнои, загрязнить, территориально, загрязнять, наземныи, реконструкция, геополитическии, нефтезагрязнить, экологичныи, реставрация, утилизироваться, география, поселение, географическии, озеленение, экологическии, отход, удобрение, заповедник, строиплощадка, утилизировать, восстанавливать, торф, переселение, загрязнитель"
21,E,21,"экологическии, экологически, экология, экологичность, эколог, экологичныи, природоохранныи, экосистема, экологиче, экопросвещение, онкологическии, биотопливо, биотехнология, гидрологическии, геологоразведка, биоресурсы, геологическии, эко, биоразнообразие, органическии, нологическии, геология, биомасса, окружение, биологическии, обстановка, геолог, агрохимическии, биосферныи, экономныи, природа, онкология, социологическии, климатическии, метрологическии, геофизическии, природныи, организационныи, антропогенныи, энергетическии, идеология, нефтехимическии, нефтегазодобыча, заповедник, газификация, нефтезагрязнить, месторождение, биология, геополитическии, нефтепродукт"
22,Отходы,22,"упаковка, упаковочныи, эколог, утилизировать, утилизироваться, пакет, глобализация, экологичныи, экопросвещение, переселение, утилизация, экологическии, переизбрать, отход, мусор, экологически, экосистема, экологичность, преобразование, переработка, заполнять, отстранение, рекуперация, уменьшать, эвакуация, складирование, уменьшаться, пакша, глобальныи, реставрация, возрождение, инвентаризация, ганизация, заполнение, экология, пакетныи, поставляться, экономика, перевыполнить, эко, реорганизация, энергозатраты, стратегическии, биотопливо, выбрасывать, пластик, поселение, дисконтирование, стратегически, перерабатывать"
23,Энергия,23,"электростанция, электрификация, присоединение, новгородэнерго, тариф, электричество, энергосбытовыи, электросетевои, энергосбыт, энергокомплекс, энергия, энергозатраты, электросвязь, электроэнергия, энерго, энергоснабжение, энергообъект, тарифныи, власть, энергопринимать, энергоатом, мощность, соединять, электротехника, энергохолдинг, энергоаудит, техническии, энергоустановка, энергоемкии, энергоресурсы, объединение, федерация, энергетика, энергосервис, договор, электропрофсоюз, энергосервисныи, контрактация, технологичность, ленэнерго, псковэнерго, эквивалент, технически, технологически, требование, алтаиэнерго, мегаватт, договоренность, увеличение, увеличиться"
24,E,24,"эколог, экологическии, экологичныи, лесничество, лес, лесопользование, экологически, лесозаготовка, экологичность, природоохранныи, экопросвещение, заповедник, леснои, экология, экосистема, эко, древесныи, озеленение, нефть, природа, растительность, биотопливо, природныи, территория, древесина, экологиче, лесосибирскии, экономист, месторождение, добровольчество, добровольческии, дерево, деревообработка, добровольно, климатическии, добровольныи, экономика, земельныи, биоресурсы, квалификация, инстанция, климат, поселение, экономия, биоразнообразие, затрата, геолог, ресурсныи, заповедныи, экономныи"
25,Климат,25,"воркутауголь, уголь, угольныи, шахта, декарбонизация, шахтныи, шахтер, углеродныи, экономика, углерод, бурятэнерго, угол, экономическии, экономически, казахстан, минэнерго, угледобывающии, кризисныи, углекислыи, географическии, география, карелэнерго, территория, добыча, коалиция, ископаемое, башкортостан, таманьнефтегаз, венгрия, добычныи, атомпроект, кризис, экспорт, граница, доля, ресурсныи, математика, сотрудничество, разграничить, ресурс, регион, энерго, углеводородныи, ограничить, трудоемкость, капитал, энергозатраты, задание, запад, инстанция"
26,Энергия,26,"энергосбытовыи, энергозатраты, энергосбыт, энергоаудит, электроэнергия, энергоемкии, энергоснабжение, энергоресурсы, энергокомпания, энерго, электросетевои, электростанция, электричество, энергия, энергопринимать, энергоноситель, энергообъект, энергоустановка, электрификация, энергоемкость, энергохолдинг, сеть, энергокомплекс, мосэнергосбыт, новгородэнерго, потеря, энергобаланс, энергосервисныи, власть, энергетика, теплоэнергия, потерять, энергоатом, энергосервис, сетевои, энергосистема, электросвязь, мощность, энергетическии, потерянныи, минэнерго, сетка, терять, ленэнерго, теплоэнергетика, мосэнерго, тарифныи, роспотребнадзор, ветроэнергетика, электрическии"
27,Энергия,27,"электроэнергия, энергосбытовыи, электричество, электростанция, энергосбыт, энергообъект, энергозатраты, энергоаудит, электрификация, энергоресурсы, роспотребнадзор, энергоустановка, энергоемкии, потребление, энерго, энергоноситель, энергоснабжение, электрическии, энергокомплекс, потребитель, электросеть, энергохолдинг, злоупотребление, энергоемкость, энергия, энергетика, энергокомпания, энергопринимать, власть, электротехника, энергоатом, электросетевои, энергосервисныи, новгородэнерго, мосэнергосбыт, потребительскии, энергосервис, электро, энергетическии, росэнергоатом, электролизныи, электролиз, энергосистема, теплоэнергия, энергобаланс, энергоблок, энерджи, ветроэнергетика, ленэнерго, электросвязь"
28,Энергия,28,"энергохолдинг, энергосбытовыи, энергообъект, электроэнергия, энергокомплекс, энергосбыт, теплоэнергия, изменение, энергозатраты, энергия, энергоаудит, теплообменныи, энергоснабжение, энергоемкии, теплоэнергетика, энергоресурсы, энергоустановка, энергетика, энергопринимать, теплообменник, энерго, энергосервисныи, энергетическии, энергоатом, энергокомпания, электростанция, росэнергоатом, обменяться, обмен, мосэнергосбыт, энергобаланс, дивиденд, энергосервис, магаданэнерго, новгородэнерго, энергоноситель, обмениваться, отопление, энергоемкость, псковэнерго, ленэнерго, тыс, электричество, преобразование, измениться, власть, тепловыделяющии, теплогенерация, бурятэнерго, дивидендныи"
29,Энергия,29,"топливо, топливныи, годовои, ежегодно, годовщина, биотопливо, росэнергоатом, бензиновыи, ежегодныи, атомэнергопром, авиатопливо, бензин, года, летныи, году, энергоатом, росатом, газпромнефть, год, газотурбинныи, бензол, нефтегазодобыча, газовыи, газомоторныи, газообразныи, нефтегазовыи, атомныи, летнии, газоочистныи, севергазпром, газпром, газоснабжение, долголетие, атомфлот, десятилетнии, газа, многолетнии, газ, роснефть, энергозатраты, полугодие, долгосрочныи, вниигаз, ископаемое, летательныи, юбилеи, энергоемкии, концессионныи, эмиссия, летальныи"
30,Биоразнообразие ,30,"заповедник, территориальныи, территория, ограничение, территориально, предел, ограниченныи, ограничительныи, заповедныи, ограничить, областнои, ограничивать, ограничиваться, граница, неограниченныи, пограничныи, земельныи, макрорегион, разграничить, федеральныи, локальныи, разграничение, ставропольскии, республика, локация, ставрополь, регион, численность, региональныи, национальныи, дискриминация, местность, население, округа, дивидендныи, площадь, поселение, парковыи, дивиденд, парка, парк, зона, водохранилище, земля, местообитание, землянои, минприрода, поселок, депозитарии, нижневартовск"
31,Биоразнообразие ,31,"природоохранныи, природныи, экологическии, экологичность, природа, экологически, экология, экологичныи, эколог, естественныи, экологиче, минприрода, экосистема, заповедник, геологическии, биотопливо, биоресурсы, гидрологическии, биотехнология, биоразнообразие, агрохимическии, онкологическии, антропогенныи, биологическии, натуральныи, биосферныи, геофизическии, органическии, водоохранныи, характерныи, заповедныи, нологическии, геологоразведка, экопросвещение, биомасса, климатическии, биология, ископаемое, газохимическии, охранныи, геология, месторождение, эко, сохранность, организационныи, атмосферныи, обстановка, экономныи, онкология, нефтехимическии"
32,Трудовые отношения,32,"работник, персонал, сотрудник, кадровыи, зарплата, вакансия, занятость, зарплатныи, безработица, увольнение, менеджер, должность, подчинение, трудовои, трудник, рентабельность, специальность, служащии, карьерныи, стажировка, работодатель, секретариат, трудиться, начальник, администратор, секретарь, численность, подчиненныи, трудоустроиство, штат, уволить, уволиться, карьера, трудоемкость, менеджерскии, уникальность, образование, коллектив, карьер, обучение, штаб, навык, труд, трудоустроить, сокращение, звание, рабочии, коэффициент, нерабочии, отпуск"
33,Благотворительность,33,"областнои, волонтерство, фонд, спонсорство, фондовыи, провинция, финансироваться, регион, волонтер, пожертвование, льготныи, финансирование, поселение, финансировать, льгота, поселок, община, субсидия, муниципалитет, финанс, федерация, субсидирование, округа, спонсор, площадь, спонсорскии, поддержка, формировать, финансы, участие, добровольчество, поощрение, добровольческии, формироваться, затратныи, территория, укрепление, село, поучаствовать, спонсировать, затратить, молодежь, стипендия, затрата, инвестиция, образовательныи, нужда, благосостояние, ужесточение, способствовать"
34,Безопасность и охрана здоровья,34,"безопасность, охрана, пасность, работник, трудник, охранныи, безопасныи, секретариат, профсоюз, секретарь, опасение, труд, производствен, сотрудник, сохранность, аварииность, профсоюзныи, безопасно, трудиться, опасность, зарплата, трудность, обеспеченность, увольнение, рабочии, страховщик, трудовои, страхование, зарплатныи, сохранение, защищенность, персонал, вакансия, охранять, трудоустроиство, фабрикация, опасныи, уволиться, уволить, цех, безработица, всесоюзныи, защита, работодатель, уверенность, стажировка, кадровыи, подрядчик, безопас, страховои"
35,Оплата труда,35,"пенсия, пенсионныи, пенсионер, льготныи, работник, профсоюз, стипендия, льгота, страхование, страховщик, инвалидность, компенсация, профсоюзныи, соцсеть, зарплата, компенсационныи, пособие, зарплатныи, страховои, уплата, субсидия, безработица, реформа, ветеран, больничныи, выплата, сотрудник, инвалид, кадровыи, полис, рентабельность, трудовои, персонал, волонтерство, субсидирование, реформирование, сокращение, страховка, отпуск, увольнение, продление, ветеранскии, компенсировать, отдых, всесоюзныи, здравоохранение, трудозатрата, добровольчество, оздоровление, социально"
36,Обучение и развитие,36,"образование, выпускник, образоваться, диплом, стипендия, студент, ужесточение, образовательныи, факультет, университет, колледж, вуз, учеба, академия, техникум, обучение, аттестат, университетскии, провинция, выпускнои, начислять, преддипломныи, образовать, поступать, выступление, федерация, начисляться, школьник, институт, учиться, гимназия, безработица, лауреат, дипломныи, училище, обучаться, преференция, студенческии, поступление, преподавание, областнои, учебныи, преемник, специальность, наставник, магистратура, курс, завершение, суз, интерфакс"
37,Трудовые отношения,37,"работник, сотрудник, персонал, увольнение, профсоюз, кадровыи, занятость, профсоюзныи, безработица, коллектив, зарплата, работодатель, трудовои, рабочии, секретариат, минтруд, трудник, численность, коэффициент, уволить, трудиться, уволиться, трудоустроиство, секретарь, отпуск, зарплатныи, перерыв, трудоемкость, всесоюзныи, совместитель, среднесуточныи, совмещение, труд, инвалидность, начальник, сокращение, коллегия, рентабельность, вакансия, производствен, разделение, менеджер, единство, квалификация, администратор, квалифицировать, ведомость, охрана, электропрофсоюз, ценность"
38,Благотворительность,38,"фестиваль, кинофестиваль, культура, культурныи, музеиныи, театр, концертныи, концерт, музеи, театральныи, федерация, спектакль, балет, аудитория, социокультурныи, экспансия, спонсорство, искусство, артист, посещаемость, поучаствовать, выступление, финансироваться, мероприятие, участвовать, организатор, феоктистов, оркестр, участие, шоу, дворец, спонсировать, латвия, экспозиция, выставочныи, выставка, поступление, спонсорскии, финансировать, событие, спонсор, музыкальныи, русскии, посетить, финансирование, задеиствовать, посещать, галерея, художественныи, кинотеатр"
